,idx,class,conversation,types
0,0,위협대화,"#@# 주변 지나갈 일이 있었는데, 클럽 앞에 사람들 엄청 바글바글하더라
저 노는 데 정신 팔린 것들은 코로나 걸려서 사경을 헤매야 정신차리지
그니까 저런 것들 남한테 피해주지 말고 조용히 죽었으면","IMMORAL_NONE
CENSURE
HATE
CENSURE
VIOLENCE"
2,2,위협대화,"아 진짜 너무 힘들어서 진심으로 죽고 싶다
말만 하지말고 진짜 죽어버려
마트 가면 연탄이랑 테이프 다 팔아","VIOLENCE
VIOLENCE
VIOLENCE"
6,6,위협대화,"저 색희 출소하면 죽이러 갈 파티원 구합니다
꼭 내손으로 죽이게 해줘라
목따서 한번 죽이고 배갈라서 두번 죽여도 되나요?","VIOLENCE
VIOLENCE
VIOLENCE"
7,7,위협대화,"실제로 존재하는 글이냐?
멀쩡한 사이트가서도 분탕질이네
ㅋㅋ 그나물에 그밥 셀프 패드립임 지 부모 목줠라 죽이는 글","IMMORAL_NONE
CENSURE
VIOLENCE
CENSURE"
10,10,위협대화,"#@#은 왜 #@인간및인간집단.인물.방송인.여성#을 고소 안 하냐?
형수 거기도 찢는다는 놈이 #@인간및인간집단.인물.방송인.여성#을 못 찢는 데는 이유가 있는 거다.
바람을 피워도 뒤처리가 깔끔해야지.
내연녀한테도 사기로 일관한 게 더 한심하다.","IMMORAL_NONE
CENSURE
SEXUAL
VIOLENCE
IMMORAL_NONE
IMMORAL_NONE"
18,18,위협대화,"중고나라 사기꾼 새77ㅣ들 개 잦같네 진짜 잡아서 쳐 죽이고 싶다
나도 얼마 전에 사기 당했음 진짜 기분 개긑드라 개련 어디서 뭐하는 련이고
일단 고소해서 가진거 다 뺐고 빈 털털이로 만들어야지 갱생불가 만들꺼다 7ㅐ새77ㅣ들","VIOLENCE
CRIME
ABUSE
ABUSE
ABUSE"
25,25,위협대화,"지금 우리 나이에 결혼은 오바 아니냐?
ㅇㅇ 당연한 소리를 하고 있냐
하 근데 여자친구 임신했다고 하는데 어떡함?
계단에서 밀어서 애 떨어지게 해","IMMORAL_NONE
IMMORAL_NONE
IMMORAL_NONE
VIOLENCE
CRIME"
28,28,위협대화,"딱봐도 미성년자들 술사러오는데 바로 입구컷넴 ㅋㅋ 검사하면 맨날 두고왔데
ㅋㅋㅋ줫같은 급딱이련들 술담배 뚫으려 오면 사시미칼로 살려달라할때까지 찔러죽이고싶더라
변명도 맨날 비슷해 집에두고왔어요 사진은 안될까요 저원래여기서 사는데 ㅋㅋ","IMMORAL_NONE
VIOLENCE
ABUSE
CENSURE
IMMORAL_NONE"
30,30,위협대화,"샘.남친왔어요.
내가 남친이 어딨어?
밖에 와 있는데..못봤어요?
헉 당신이 여길 어떻게?
야.요년아 니가 튀면 못잡을줄 아냐.죽을라고 그냥.
엄마빛을 나한테 오면 어쩌자는거야..","IMMORAL_NONE
IMMORAL_NONE
IMMORAL_NONE
IMMORAL_NONE
VIOLENCE
IMMORAL_NONE"
33,33,위협대화,"왜 노인들은 무료로 지하철 탐?
내 세금 아까워 죽겠네
늙었으면 관절 분리해서 집 안에 박제 시켜놓는게 답","IMMORAL_NONE
IMMORAL_NONE
DISCRIMINATION
CENSURE
VIOLENCE"
37,37,위협대화,"연애 편지로 여자를 꼬신다고?
무슨 탑골 공원 노인네들도 아니고 연애 편지 같은 소리한다
ㅋㅋ꼭 이렇게 아다 티를 낸다
?? 그냥 억 단위 통장 들고 한녀들 보여주면 빰을 후려칠 거거든?
그럼 서로 보짓값 계산해서 합의되면 만나는거야ㅋㅋ
그 감성이 보짓값 할인 쿠폰이 되는 거란다..ㅉㅉ","IMMORAL_NONE
CENSURE
DISCRIMINATION
SEXUAL
DISCRIMINATION
HATE
VIOLENCE
HATE
SEXUAL
DISCRIMINATION
SEXUAL
DISCRIMINATION"
